title,genres_associated,languages_availables,runtime,overview,adult,release_date,tagline,vote_average,keywords,cast
Claire of the Moon,"['Drama', 'Romance']",['English'],105.0,"Claire of the Moon is set in the 1990s in the Pacific Northwest. Claire Jabrowski, a famous heterosexual author, decides to attend a retreat for all-female writers. Claire's rommate at the retreat is Dr. Noel Benedict, author of a book called The Naked Truth. The movie culminates in a sexual encounter between the two authors.",False,1992-09-18,One woman's journey into her sexual identity.,5.2,"['claire', 'author', 'retreat']","['Trisha Todd', 'Karen Trumbo', 'Faith McDevitt', 'Craig Damen', 'Leslie Hidula', 'Caren Graham', 'Sheila Dickenson', 'Patricia Blem', 'Melissa Mitchell', 'Gathering Marbet', 'Sherilyn Lawson', 'Misti Cooper', 'Doug Rouhier']"
Django,"['Action', 'Western']",['Italian'],93.0,"Django is a 1966 Italian spaghetti Western film directed by Sergio Corbucci and starring Franco Nero in the eponymous role. The film earned a reputation as being one of the most violent films ever made up to that point and was subsequently refused a certificate in Britain until 1993, when it was eventually issued an 18 certificate. Subsequent to this the film was downgraded to a 15 certificate in 2004. Although the name is referenced in over thirty ""sequels"" from the time of the film's release until the mid 1980s in an effort to capitalize on the success of the original, none of these films were official, featuring neither Corbucci nor Nero. Nero did reprise his role as Django in 1987's Django 2: Il Grande Ritorno (Django Strikes Again), in the only official sequel to be written by Corbucci.",False,1966-04-05,The movie that spawned a genre.,7.1,"['django', 'film', 'corbucci']","['Franco Nero', 'José Bódalo', 'Loredana Nusciak', 'Ángel Álvarez', 'Eduardo Fajardo', 'Gino Pernice', 'Giovanni Ivan Scratuglia', 'Luciano Rossi', 'Lucio De Santis']"
Django Strikes Again,['Western'],"['English', 'Italian', 'Spanish']",96.0,Former gunfighter Django has become a monk and abandoned his violent former ways. His daughter is kidnapped by rogue Hungarian soldiers using slave labor to run a silver mine. Django casts off his habit and digs up his machine gun to practice a little liberation theology.,False,1987-10-22,Forget Young Guns. Here comes the BIG GUN.,4.6,"['former', 'django', 'gunfighter']","['Franco Nero', 'Christopher Connelly', 'Licinia Lentini', 'William Berger', 'Roberto Posse', 'Donald Pleasence', 'Alessandro Di Chio', 'Rodrigo Obregón', 'Micky', 'Bill Moore', 'Consuelo Reina']"
The Fan,"['Drama', 'Horror', 'Thriller']",['English'],95.0,"A record store clerk is an obsessed fan of an actress of stage and screen (Lauren Bacall). However when his letters are rejected, the fan strikes out at the actresses friends, then at her.",False,1981-05-15,The final act is murder.,7.3,"['fan', 'record', 'store']","['Lauren Bacall', 'James Garner', 'Maureen Stapleton', 'Héctor Elizondo', 'Michael Biehn', 'Anna Maria Horsford', 'Kurt Johnson']"
Festival in Cannes,"['Drama', 'Comedy']",['English'],100.0,"Cannes, 1999. Alice, an actress, wants to direct an indie picture. Kaz, a talkative (and maybe bogus) deal maker, promises $3 million if she'll use Millie, an aging French star. But, Rick, a big producer, needs Millie for a small part in a fall movie or he loses his star, Tom Hanks. Is Kaz for real? Can Rick sweet-talk Alice and sabotage Kaz to keep Millie from taking that deal? Millie consults with Victor, her ex, about which picture to make, Rick needs money, an ingenue named Blue is discovered, Kaz hits on Victor's new love, and Rick's factotum connects with Blue. Knives go in various backs. Wheels spin. Which deals - and pairings - will be consummated?",False,2001-11-03,The scene behind the scenes.,0.0,[],"['Anouk Aimée', 'Ron Silver', 'Greta Scacchi', 'Maximilian Schell', 'Peter Bogdanovich']"
Flashback,"['Action', 'Comedy', 'Crime']",['English'],108.0,"A hippie radical, Huey Walker has been a fugitive for decades, accused of a crime that he may not have committed. Finally apprehended, Walker is escorted to trial by uptight 20-something FBI agent John Buckner. While the two seem to be polar opposites, it turns out that Buckner may have more in common with Walker than is initially apparent, a point that is driven home when the pair faces off against a sinister small-town sheriff.",False,1990-02-02,A '60s radical. An uptight fed. It's gonna be a real trip!,6.6,"['walker', 'may', 'buckner']","['Dennis Hopper', 'Kiefer Sutherland', 'Carol Kane', 'Paul Dooley', 'Cliff DeYoung', 'Richard Masur', 'Michael McKean']"
Hanky Panky,"['Mystery', 'Action', 'Comedy', 'Crime']",['English'],110.0,"The complete innocent, Michael Jordon, is drawn into a web of secrecy and government secrets when a girl carrying a mysterious package gets into a taxi with him. When she is later murdered, Michael is the chief suspect and on the run.",False,1982-06-04,"When you're wanted for a murder you didn't commit, chased for secrets you didn't steal, and running from people who want to kill you, the worst mistake you can make is falling in love...",6.0,"['michael', 'complete', 'innocent']","['Gene Wilder', 'Gilda Radner', 'Kathleen Quinlan', 'Richard Widmark', 'Robert Prosky', 'Josef Sommer', 'Johnny Sekka', 'Jay O. Sanders', 'Mildred Brion']"
The Rocking Horse Winner,['Drama'],['English'],91.0,A strange and ultimately tragic tale of a young boy who learns how to pick winners at the racetrack by riding his rocking horse to aid his parents out of their endless round of debts.,False,1949-11-30,Exciting As Your Wildest Dreams!,5.9,"['strange', 'ultimately', 'tragic']","['Valerie Hobson', 'John Howard Davies', 'Ronald Squire', 'John Mills', 'Hugh Sinclair', 'Charles Goldner', 'Susan Richards', 'Cyril Smith']"
Seance on a Wet Afternoon,"['Thriller', 'Drama', 'Crime']",['English'],111.0,"Bill Savage is struggling to maintain his marriage to his increasingly unbalanced wife, Myra, who believes she is a medium. She plans a scheme that will make her famous, involving kidnapping then ""psychically"" locating a little girl.",False,1964-06-19,Two of the greatest performances you will ever see...,7.0,"['bill', 'savage', 'struggling']","['Kim Stanley', 'Richard Attenborough', 'Marian Spencer', 'Judith Donner', 'Margaret Lacey', 'Marie Burke', 'Maria Kazan', 'Lionel Gamlin', 'Godfrey James', 'Ronald Hines', 'Hajni Biro', 'Mark Eden', 'Nanette Newman', 'Diana Lambert', 'Frank Singuineau', 'Gerald Sim', 'Stanley Morgan', 'Maggie Rennie', 'Michael Lees', 'Patrick Magee', 'Arnold Bell']"
Shamus,"['Mystery', 'Thriller']",['English'],106.0,"New York private eye Shamus McCoy likes girls, drink and gambling, but by the look of his flat business can't be too hot. So an offer of $10,000 to finds some diamonds stolen in a daring raid with a flame-thrower is too good to miss. His investigations soon get pretty complicated and rather too dangerous. At least along the way he does get to meet Alexis.",False,1973-01-31,"SHAMUS a pool-shooting, card-playing, broad-chasing, private eye...cross him, and he'll blow your head off!",7.6,"['get', 'new', 'york']","['Burt Reynolds', 'Dyan Cannon', 'John P. Ryan', 'Joe Santos', 'Giorgio Tozzi', 'Ron Weyand', 'Larry Block', 'Beeson Carroll', 'Kevin Conway', 'Kay Frye', 'John Glover']"
Below,"['Thriller', 'Horror', 'Mystery']",['English'],105.0,"In the dark silence of the sea during World War II, the submarine U.S.S. Tiger Shark prowls on what should be a routine rescue mission. But for the shell-shocked crew, trapped together in the sub's narrow corridors and constricted spaces, this is about to become a journey into the sensory delusions, mental deceptions and runaway fear that lurk just below the surface of the ocean.",False,2002-10-11,Six hundred feet beneath the surface terror runs deep,6.0,"['dark', 'silence', 'sea']","['Matthew Davis', 'Bruce Greenwood', 'Olivia Williams', 'Zach Galifianakis', 'Scott Foley', 'Holt McCallany', 'Nick Chinlund', 'Jason Flemyng', 'Andrew Howard', 'Christopher Fairbank', 'Matthew Leitch', 'Jonathan Hartman']"
Brown Sugar,"['Comedy', 'Romance']",['English'],109.0,"Sidney is a writer who's just left her L.A. Times music review gig to edit New York hip-hop magazine XXL. Dre is an executive with a hip-hop record company based in New York. They've known each other since they met as children, when both discovered hip-hop for the first time. Now that they're back together, they should be perfect for each other, except that Dre's about to marry lawyer Reese and Sidney claims not to be interested in Dre romantically. Meanwhile, Dre is growing increasingly restless with his company's focus on profit over artistry, which leads to signing the gimmicky duo Ren and Ten while ignoring the talented Chris",False,2002-10-05,When did you first fall in love with hip-hop?,7.0,[],"['Sanaa Lathan', 'Taye Diggs', 'Yasiin Bey', 'Queen Latifah', 'Nicole Ari Parker', 'Boris Kodjoe', 'Sterling K. Brown', 'Wendell Pierce', 'Big Daddy Kane', 'Ahmir-Khalib Thompson', 'Kool G. Rap', 'Tariq Trotter', 'Doug E. Fresh', 'Pete Rock', 'Jermaine Dupri', 'Slick Rick', 'Russell Simmons', 'Common', 'Talib Kweli', 'Beanie Sigel', 'Method Man', 'De La Soul']"
Knockaround Guys,"['Crime', 'Thriller']","['Czech', 'English']",92.0,Four sons of well-known New York mobsters must retrieve a bag of cash from a small Montana town ruled by a corrupt sheriff.,False,2001-09-07,"If they don't finish the job, their fathers will finish them.",5.9,"['four', 'sons', 'new']","['Barry Pepper', 'Andy Davoli', 'Seth Green', 'Vin Diesel', 'John Malkovich', 'Arthur J. Nascarella', 'Nicholas Pasco', 'Shawn Doyle', 'Kevin Gage', 'Dennis Hopper', 'Andrew Francis', 'John Liddle', 'Kris Lemche', 'Dov Tiefenbach', 'Tom Noonan', 'Catherine Fitch', 'Ceciley Jenkins', 'Jennifer Baxter', 'Josh Mostel', 'Mike Starr', 'Allan Havey', 'Bruce McFee', 'Boyd Banks', 'Angela White', 'Joe Pingue', 'Michael A. Miranda', 'Tony Nappo', 'George Buza', 'Catherine Burdon', 'Frank Pellegrino', 'Lawrence Bender', 'Marty Antonini']"
The Rules of Attraction,"['Comedy', 'Drama', 'Romance']","['English', 'Deutsch']",110.0,"The incredibly spoiled and overprivileged students of Camden College are a backdrop for an unusual love triangle between a drug dealer, a virgin and a bisexual classmate.",False,2002-10-11,We all run on instinct,6.3,"['incredibly', 'spoiled', 'overprivileged']","['James Van Der Beek', 'Shannyn Sossamon', 'Ian Somerhalder', 'Jessica Biel', 'Kate Bosworth', 'Jay Baruchel', 'Thomas Ian Nicholas', 'Russell Sams', 'Kip Pardue', 'Joel Michaely', 'Clifton Collins Jr', 'Clare Kramer', 'Faye Dunaway', 'Swoosie Kurtz', 'Colin Bain', 'Fred Savage', 'Kavan Reece', 'Ron Jeremy', 'Theresa Wayman']"
Tuck Everlasting,"['Drama', 'Family', 'Fantasy', 'Romance', 'Science Fiction']","['English', 'French']",90.0,"Natalie Babbitt's award winning book for children comes to the screen in a lavish adaptation from Walt Disney Pictures. Winnie Foster (Alexis Bledel) is a girl in her early teens growing up in the small rural town of Winesap in 1914. Winnie's parents (Victor Garber and Amy Irving) are loving but overprotective, and Winnie longs for a life of greater freedom and adventure.",False,2002-10-11,"If you could choose to live forever, would you?",6.4,"['winnie', 'natalie', 'babbitt']","['Alexis Bledel', 'William Hurt', 'Sissy Spacek', 'Jonathan Jackson', 'Scott Bairstow', 'Ben Kingsley', 'Amy Irving', 'Victor Garber']"
Bowling for Columbine,['Documentary'],['English'],120.0,"Why do 11,000 people die in America each year at the hands of gun violence? Talking heads yelling from every TV camera blame everything from Satan to video games. But are we that much different from many other countries? What sets us apart? How have we become both the master and victim of such enormous amounts of violence? This is not a film about gun control. It is a film about the fearful heart and soul of the United States, and the 280 million Americans lucky enough to have the right to a constitutionally protected Uzi. From a look at the Columbine High School security camera tapes to the home of Oscar-winning NRA President Charlton Heston, from a young man who makes homemade napalm with The Anarchist's Cookbook to the murder of a six-year-old girl by another six-year-old, Bowling for Columbine is a journey through America, through our past, hoping to discover why our pursuit of happiness is so riddled with violence.",False,2002-10-09,One nation under the gun.,7.3,"['violence', 'america', 'gun']","['Michael Moore', 'George H. W. Bush', 'George W. Bush', 'Dick Clark', 'Charlton Heston', 'Jacobo Arbenz', 'Mike Bradley', 'Arthur A. Busch', 'Michael Caldwell', 'Richard Castaldo', 'Bill Clinton', 'Steve Davis', 'Ngo Dinh Diem', 'Mike Epstein', 'Joe Farmer', 'Matt Stone', 'Brooks Brown', 'Dick Herlan', 'Marilyn Manson', 'Chris Rock', 'Salvador Allende']"
Comedian,"['Comedy', 'Documentary']",['English'],82.0,"A look at the work of two stand-up comics, Jerry Seinfeld and a lesser-known newcomer, detailing the effort and frustration behind putting together a successful act and career while living a life on the road.",False,2002-10-25,Where does comedy come from?,6.8,"['look', 'work', 'two']","['Jerry Seinfeld', 'Orny Adams', 'Greg Giraldo', 'Jim Norton', 'Sherrod Small', 'Allan Havey', 'Colin Quinn', 'Cynthia Koury', 'George Wallace', 'Robert Klein', 'T. Sean Shannon', 'Gary Greenberg', 'Shawn Seymour', 'Richard Spector', 'Michael Britt', 'Craig Figueiredo', 'Nicole Severine', 'Nicole Beatty', 'Tom Papa', 'Mario Joyner', 'Ray Romano', 'William Stephenson', 'Ángel Salazar', 'Godfrey', 'Dom Irrera', 'Gary Valentine', 'Chris Rock', 'Brad Perry', 'Garry Shandling', 'Kevin Nealon', 'Jay Leno', 'Jimmy Brogan', 'Bill Cosby', 'Mustafa Abuelhija', 'Manny Dworman', 'Estee Adoram', 'Anat Barnes', 'George Shapiro', 'Rory Rosegarten', 'Diane Barnett', 'Chris Mazzilli', 'Jessica Seinfeld', 'Michie Mee', 'Richard Miller', 'Terry Dimonte', 'Brett Walkow', 'Barry Katz', 'John Johnson', 'Tom Pecora', 'Paul Schorsch', 'Henry Benavides', 'Mark Magnusson', 'Daniel McKenna', 'Michael Nelson', 'Mike Lacey', 'Elizabeth Clark', 'Kevin Dochtermann', 'Christopher Misiano']"
Swept Away,"['Comedy', 'Romance']","['Italian', 'Greek', 'English']",89.0,"Stranded and alone on a desert island during a cruise, a spoiled rich woman and a deckhand fall in love and make a date to reunite after their rescue.",False,2002-10-11,A snooty socialite is stranded on a Mediterranean island with a communist sailor.,4.8,"['stranded', 'alone', 'desert']","['Madonna', 'Adriano Giannini', 'Bruce Greenwood', 'Elizabeth Banks', 'Michael Beattie', 'Jeanne Tripplehorn']"
Abandon,"['Drama', 'Mystery', 'Thriller']","['Italian', 'English']",99.0,"A psychological thriller about a senior at one of America's most prestigious universities. Under enormous pressure to complete her thesis and earn a top job at one of the world's most competitive consulting firms, Katie is still coping with the sudden unexplained disappearance of her first love two years prior. As the investigation continues, Katie is forced to choose between past passions and new possibilities, even as new facts are uncovered.",False,2002-10-14,Watch who you leave behind.,4.6,"['one', 'katie', 'new']","['Katie Holmes', 'Benjamin Bratt', 'Charlie Hunnam', 'Zooey Deschanel', 'Fred Ward', 'Mark Feuerstein', 'Melanie Lynskey', 'Philip Bosco', 'Gabriel Mann', 'Will McCormack', 'Tony Goldwyn', 'Gabrielle Union', 'Rachelle Lefevre', 'Christopher Dyson']"
The 51st State,"['Thriller', 'Action', 'Comedy', 'Crime']",['English'],93.0,"Elmo McElroy is a streetwise American master chemist who heads to England to sell his special new formula - a powerful, blue concoction guaranteed to take you to 'the 51st state.' McElroy's new product delivers a feeling 51 times more powerful than any thrill, any pleasure, any high in history. But his plans for a quick, profitable score go comically awry when he gets stuck in Liverpool with an unlikely escort and his ex-girlfriend and becomes entangled in a bizarre web of double-dealing and double-crosses.",False,2001-12-07,Nice Wheels. Dirty Deals. And One Mean Mother In A Kilt.,5.9,"['mcelroy', 'new', 'powerful']","['Samuel L. Jackson', 'Robert Carlyle', 'Emily Mortimer', 'Meat Loaf', 'Rhys Ifans', 'Sean Pertwee', 'Ricky Tomlinson', 'Michael Starke', 'Anna Keaveney', 'Paul Barber', 'Stephen Walters', 'Nigel Whitmey', 'Mac McDonald', 'Michael J. Reynolds', 'Junix Inocian', 'Jake Abraham', 'Aaron Swartz', 'David Webber', 'Nick Bartlett', 'Angus MacInnes', 'Robert Fyfe', 'Robert Jezek', 'Joan Campion', ""Terry O'Neill"", 'Marc Anwar', 'Paul Broughton']"
